record_id,organism_code,municipality,area,period,account_code,account_class,account_name_as_published,opening_debit_clp,opening_credit_clp,period_debits_clp,period_credits_clp,ending_debit_clp,ending_credit_clp,currency,source_page,source_file,extraction_method,verification_status
MU124-municipal-2026-07-115-03-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-03-00-000-000-000,1,C X C TRIBUTOS SOBRE EL USO DE BIENES Y LA REALIZACIÓN DE AC,0,37231900,1481501404,1261548481,182721023,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
MU124-municipal-2026-07-115-06-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-06-00-000-000-000,1,C X C RENTAS DE LA PROPIEDAD,0,0,59793381,59793381,0,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
MU124-municipal-2026-07-115-08-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-08-00-000-000-000,1,C X C OTROS INGRESOS CORRIENTES,127712390,0,4357426747,4310659262,174479875,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
MU124-municipal-2026-07-115-12-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-12-00-000-000-000,1,C X C RECUPERACIÓN DE PRÉSTAMOS,784564967,0,0,7326946,777238021,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
MU124-municipal-2026-07-111-01-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,111-01-00-000-000-000,1,CAJA,637647468,0,6381949405,5966258667,1053338206,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
MU124-municipal-2026-07-111-02-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,111-02-00-000-000-000,1,BANCO ESTADO,1992681176,0,48245709,42242155,1998684730,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
MU124-municipal-2026-07-111-03-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,111-03-00-000-000-000,1,BANCO DEL SISTEMA FINANCIERO,13174748471,0,6125412230,4318860599,14981300102,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
MU124-municipal-2026-07-111-08-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,111-08-00-000-000-000,1,FONDO POR ENTERAR AL FONDO COMÚN MUNICIPAL,0,0,22896989,0,22896989,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
MU124-municipal-2026-07-114-03-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,114-03-00-000-000-000,1,ANTICIPOS A RENDIR CUENTA,15116297,0,2200000,0,17316297,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
MU124-municipal-2026-07-114-04-00-000-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,114-04-00-000-000-000,1,GARANTÍAS OTORGADAS,111914218,0,0,0,111914218,0,CLP,1,01_balance_comprobacion_saldos_agregado_julio_2026_area_municipal.pdf,pdftotext_layout_regex,estructura_y_totales_reconciliados
