record_id,organism_code,municipality,area,year,month_number,month_name,publication_date,report_end_date,flow_type,document_type,description,document_url,url_host,source_file,source_row,download_status
MU124-municipal-2026-07-ingresos,MU124,Municipalidad de La Pintana,municipal,2026,7,Julio,2026-08-14,2026-07-31,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Ingresos al 31 de julio del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS+JULIO+2026%2C%20%C3%81REA+MUNICIPAL.pdf/7cca56a9-b53f-44bb-93e0-fc0fc3992ce1,www.portaltransparencia.cl,TransparenciaActiva (1).csv,2,pendiente_descarga
MU124-municipal-2026-07-gastos,MU124,Municipalidad de La Pintana,municipal,2026,7,Julio,2026-08-14,2026-07-31,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Gastos al 31 de julio del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS+JULIO+2026%2C%20%C3%81REA+MUNICIPAL.pdf/120e24ff-9abe-4276-a358-53463c145a26,www.portaltransparencia.cl,TransparenciaActiva (1).csv,3,pendiente_descarga
MU124-municipal-2026-06-ingresos,MU124,Municipalidad de La Pintana,municipal,2026,6,Junio,2026-07-07,2026-06-30,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Ingresos al 30 de junio del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS+JUNIO+2026%2C%20%C3%81REA+MUNICIPAL.pdf/a24a6128-919e-4d3f-8a12-5cee7d0f0b5a,www.portaltransparencia.cl,TransparenciaActiva (1).csv,4,pendiente_descarga
MU124-municipal-2026-06-gastos,MU124,Municipalidad de La Pintana,municipal,2026,6,Junio,2026-07-07,2026-06-30,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Gastos al 30 de junio del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS+JUNIO+2026%2C%20%C3%81REA+MUNICIPAL.pdf/b2d0ed1e-a647-418e-8efa-dd8ccdcc0187,www.portaltransparencia.cl,TransparenciaActiva (1).csv,5,pendiente_descarga
MU124-municipal-2026-05-ingresos,MU124,Municipalidad de La Pintana,municipal,2026,5,Mayo,2026-06-11,2026-05-31,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Ingresos al 31 de mayo del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS+MAYO+2026%2C%20%C3%81REA+MUNICIPAL.pdf/f1b78d12-e564-445c-9889-801caffc1b68,www.portaltransparencia.cl,TransparenciaActiva (1).csv,6,pendiente_descarga
MU124-municipal-2026-05-gastos,MU124,Municipalidad de La Pintana,municipal,2026,5,Mayo,2026-06-11,2026-05-31,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Gastos al 31 de mayo del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS+MAYO+2026%2C%20%C3%81REA+MUNICIPAL.pdf/1cfc6a1e-06f8-4001-ac2d-0a40324c6ff7,www.portaltransparencia.cl,TransparenciaActiva (1).csv,7,pendiente_descarga
MU124-municipal-2026-04-ingresos,MU124,Municipalidad de La Pintana,municipal,2026,4,Abril,2026-05-12,2026-04-30,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Ingresos al 30 de abril del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/balance+de+ejecuci%C3%B3n+presupuestaria+de+ingresos+abril+2026+municipal.pdf/1b8665ef-8131-4c7c-b29d-996fe76e7fa9,www.portaltransparencia.cl,TransparenciaActiva (1).csv,8,pendiente_descarga
MU124-municipal-2026-04-gastos,MU124,Municipalidad de La Pintana,municipal,2026,4,Abril,2026-05-12,2026-04-30,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Gastos al 30 de abril del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/balance+ejecuci%C3%B3n+presupuestaria+gastos+abril+2026+municipal.pdf/22ba2d6c-1845-40bb-9090-64429803b5e4,www.portaltransparencia.cl,TransparenciaActiva (1).csv,9,pendiente_descarga
MU124-municipal-2026-03-ingresos,MU124,Municipalidad de La Pintana,municipal,2026,3,Marzo,2026-04-07,2026-03-31,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Ingresos al 31 de marzo del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS%2C%20MARZO+2026+%C3%81REA+MUNICIPAL.pdf_1778684802521/d978e0d0-acbe-45b4-b747-ca4a8248e9a8,www.portaltransparencia.cl,TransparenciaActiva (1).csv,10,pendiente_descarga
MU124-municipal-2026-03-gastos,MU124,Municipalidad de La Pintana,municipal,2026,3,Marzo,2026-04-07,2026-03-31,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Gastos al 31 de marzo del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS%2C%20MARZO+2026+%C3%81REA+MUNICIPAL.pdf_1778684748888/8dffab11-42ae-4205-98eb-7589bbfbf4d7,www.portaltransparencia.cl,TransparenciaActiva (1).csv,11,pendiente_descarga
