record_id,organism_code,municipality,area,period,account_code,account_prefix,account_name_as_published,amount_clp,currency,source_page,source_file,extraction_method,verification_status
MU124-municipal-2026-07-115-03-01-002-003-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-03-01-002-003-000,115,COBRO DIRECTO,4784476,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-115-03-02-001-001-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-03-02-001-001-000,115,DE BENEFICIO MUNICIPAL,6864056,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-115-03-02-001-002-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-03-02-001-002-000,115,DE BENEFICIO FONDO COMUN MUNICIPAL,11440109,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-115-03-02-002-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-03-02-002-000-000,115,LICENCIAS DE CONDUCIR Y SIMILARES,1764702,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-115-03-02-999-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-03-02-999-000-000,115,OTROS,162903,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-115-08-02-001-001-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-08-02-001-001-000,115,MULTAS LEY DEL TRANSITO,4029885,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-115-08-02-006-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-08-02-006-000-000,115,REG. DE MULTAS NO PAGADAS DE BENF. DE OTRAS MUNIC.,713224,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-115-08-02-008-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-08-02-008-000-000,115,MULTAS E INTERESES,147258,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-115-08-04-001-000-000,MU124,Municipalidad de La Pintana,municipal,2026-07,115-08-04-001-000-000,115,ARANCEL AL REGISTRO DE MULTAS DE TRÀNSITO NO PAGAD,1373026,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-215-21-02-001-001-000,MU124,Municipalidad de La Pintana,municipal,2026-07,215-21-02-001-001-000,215,SUELDOS BASE,62581295,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-215-21-02-001-002-002,MU124,Municipalidad de La Pintana,municipal,2026-07,215-21-02-001-002-002,215,"Asig. de Ant. Art.97, Letra G) de Ley Nº18.883",781497,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
MU124-municipal-2026-07-215-21-02-001-003-000,MU124,Municipalidad de La Pintana,municipal,2026-07,215-21-02-001-003-000,215,ASIGNACION PROFESIONAL,25006392,CLP,1,02_pasivos_julio_2026_area_municipal.pdf,pdftotext_layout_regex,fila_extraida_revisar_clasificacion_contable
